Table,Field,Description,DataType,Required,Validation,,ClinPath field,team_Hafler type,ClinPath description,
SUBJECT,sex,Sex.:   Genetically derived sex. ,Enum,Required,"[""Male"", ""Female"",""Intersex"",""Unnown""]",,"sex (assigned at birth, as known to brain bank)",Dropdown,Sex of the donor assigned at birth as known to the brain bank,
SUBJECT,age_at_collection,Age at Collection.:   Numerical age of subject at sample collection. Unit of years in decimal format.,Float,Required,,,race,Dropdown,Race of the donor as per options in the dropdown menu,
SUBJECT,race,Race.:   Reported race of subject. NINDS CDE for race. NOT genetic race.,Enum,Required,"[""American Indian or Alaska Native"", ""Asian"", ""White"", ""Black or African American"", ""Multi-racial"", ""Native Hawaiian or Other Pacific Islander"", ""Other"", ""Unknown"", ""Not Reported""]",,ethnicity,Dropdown,Ethnicity of the donor as per options in the dropdown menu,
SUBJECT,ethnicity,Ethnicity.:   Reported ethnicity of subject. NINDS CDE for ethnicity. NOT genetic race.,Enum ,Required,"[""Hispanic or Latino"", ""Not Hispanic or Latino"", ""Unknown"", ""Not Reported""]",,,,,
SUBJECT,duration_pmi,Duration of Pmi.:   Post Mortem Interval (PMI) between death and autopsy start. Units in hours,Float,Required,,,path_PMI_hours,Dropdown,To specify the post-mortem interval from the dropdown menu (post-mortem interval counted from the time of death to the time of retrieved brain tissue frozen),
SUBJECT,primary_diagnosis,"Primary Diagnosis.:   The diagnosis of the subject.  Because subjucts could have multple diagnoses, this is the PRIMARY diagnosis. ",Enum,Required,"[""Healthy Control"", ""Idiopathic PD"", ""Alzheimer’s disease"", ""Frontotemporal dementia"", ""Corticobasal syndrome"", ""Dementia with Lewy bodies"", ""Dopa-responsive dystonia"", ""Essential tremor"", ""Hemiparkinson/hemiatrophy syndrome"", ""Juvenile autosomal recessive parkinsonism"", ""Motor neuron disease with parkinsonism"", ""Multiple system atrophy"", ""Neuroleptic-induced parkinsonism"", ""Normal pressure hydrocephalus"", ""Progressive supranuclear palsy"", ""Psychogenic parkinsonism"", ""Vascular parkinsonism"", ""No PD nor other neurological disorder"", ""Spinocerebellar Ataxia (SCA)"", ""Prodromal non-motor PD"", ""Prodromal motor PD"", ""Other neurological disorder""]",,,,,
SUBJECT,primary_diagnosis_text,"Primary Diagnosis Text.:   If the primary_diagnosis is ""Other neurological disorders"" diagnosis must be specified here. ",string,Optional,,,,,,
SAMPLE,sample_id,"Sample ID.:   ID of each individual sample used in the study (e.g. cortex of anterior cingulate gyrus); if from the same brain several regions are included in the study, each region (i.e. each sample) has different ID and listed as a separate entry",String,Required,,,ASAP_team_laboratory_sample_id,Free text,"ID of each individual sample used in the study (e.g. cortex of anterior cingulate gyrus); if from the same brain several regions are included in the study, each region (i.e. each sample) has different ID and listed as a separate entry",
SAMPLE,source_sample_id,Source Sample ID.:   ID provided by Brain bank or other source,String,Required,,,,,,
SAMPLE,subject_id,Subject ID.:   Can be multiple samples from each Subject,String,Required,,,,,,
SAMPLE,replicate,"Replicate.:   Indicator for replicates of the sample.  Replicates could be biological or tecnical.  Indicate biological replicates as capitalized ""Rep"" + replicated number (i.e. Rep1, Rep2, etc) and technical replicates with lowercase ""rep"" + replicate number (i.e., rep1, rep2 etc.)",String,Required,,,,,,
SAMPLE,replicate_count,"Replicate Count.:   Number of replicates of this sample.  Typically this will be 1, but if replicates have been collected indicate how many total.",Integer,Required,,,,,,
SAMPLE,repeated_sample,Repeated Sample.:   Repeated Sample indicator.  This will be treated as a boolean.  i.e. enter 0 unless sample is a replicate.,Integer,Required,,,,,,
SAMPLE,batch,"Batch.:   Label to enumerate the batch. This will probablby numerica, but could be coded as letters.",String,Required,,,,,,
SAMPLE,tissue,"Tissue.:   Type of tissue.  e.g. ""Brain"" or other organ.  For this database it should always be ""Brain"". ",String,Required,,,,,,
SAMPLE,brain_region,Brain Region.:   The anatomical origin of brain sample.,String,Required,,,,,,
SAMPLE,source_RIN,"Source RIN.:   RIN provided by Tissue/Brain/Biobank, if applicable.",Float,Required,,,pm_RIN (on sample),Dropdown,To specify RNA integrity number for the individual sample used in the study,
SAMPLE,RIN,RIN.:   RIN on sample received (performed by team/lab/3rd party)?,Float,Required,,,,,,
SAMPLE,molecular_source,"Molecular Source.:   The molecular source of the data could be DNA, RNA or protein, for example.  Initially this will be RNA.",Enum,Required,"[""Total RNA"", ""PolyA RNA"", ""Cytoplasmic RNA"", ""Nuclear RNA"", ""Genomic DNA"", ""Protein"", ""Other""]",,,,,
SAMPLE,input_cell_count,Input Cell Count.:   Total count of cells (single cell or single nuclei) that were originally isolated and processed for capture. I.e. cell suspension concentration * volume injected.,Integer,Required,,,,,,
SAMPLE,assay,Assay.:   Assay performed and Version.,Enum,Required,"[""v3.1 - Dual Index"",""v3.1 - Single Index"",""v2 - Dual Index"", ""v1"", ""Xenium In Situ"",""v1.1 - Single Index"", ""v2""]",,,,,
SAMPLE,sequencing_end,Sequencing End.:   Specification sequencing type: Single End vs. Paired-End.,Enum,Required,"[""Single"", ""Paired-end""]",,,,,
SAMPLE,sequencing_length,Sequencing Length.:   Number of base pairs sequenced.  ,Enum,Required,"[""25"", ""50"", ""100"", ""150""]",,,,,
SAMPLE,sequencing_instrument,Sequencing Instrument.:   The instrument used to perform sequencing. ,Enum,Required,"[""Illumina NovaSeq 6000"", ""llumina HiSeq 2500"", ""Illumina HiSeq 3000"", ""Illumina HiSeq 4000"", ""Illumina NextSeq 550"", ""Illumina HiSeq X Ten"", ""Illumina HiSeq X Five"", ""Illumina MiSeq"", ""on Torrent PGM"", ""Ion Torrent Proton"", ""Ion Torrent S5"", ""Ion Torrent S5 XL"", ""PacBio RS"", ""PacBio RS II"", ""Other""]",,,,,
SAMPLE,file_type,"File Type.:   Type of file uploaded for this sample.  We are asking for ""fastq"" for raw data transfer.",Enum,Required,"[""fastq"",""Per sample raw file"", ""Per sample processed file"", ""Combined analysis files"", ""annData"", ""vHDF"", ""plink2"", ""VCF"", ""csv""]",,,,,
SAMPLE,file_name,"File Name.:   Full name of file containing the sample data.  For paired-end data (e.g. `sequencing_end` = ""single"") the ROOT of the file can be specified, and the others will be inferred. ",String,Required,,,,,,
SAMPLE,file_description,File Description.:   Short description of the file.,String,Required,,,,,,
SAMPLE,file_MD5,File MD5.:   Checksum hash of the uploaded file using MD5,String,Required,,,,,,
SAMPLE,technology,Technology.:   Technology used for the assay.  e.g. 'sN' for single Nuclei or 'sC' for single Cell.,Enum,Required,"['SN','SC','Spatial','Bulk','Seq','Array']",,,,,
SAMPLE,omic,"Omic.:   Readout type. This will be ""RNA"" for most of the ASAP CRN data.",Enum,Required,"['RNA','DNA','Hi-C','ATAC','Protein']",,,,,
SAMPLE,adjustment,"Adjustment. :   Indication of whether the data has been adjusted.  i.e. Is the data ""raw"" or ""processed""?",Enum,Required,"['Raw','Processed']",,,,,
SAMPLE,content,Content.:   What is the variable measurement values? ,Enum,Required,"['Counts','Probabilities','Genotypes','Dosages','Reads']",,,,,
SAMPLE,time,"Time.:   Time from baseline in days. Units in days, 0 is baseline to facilitate longitudinal analysis.",Float,Required,,,,,,
SAMPLE,header,Header.:   What are the primary header labels?,String,Required,,,,,,
SAMPLE,annotation,"Annotation.:   Additional annotation columns present in file. I.e. 'tissue','UMI','barcode','cluster', or'cell location' ... Additional colunns in the annData or HDF files when relevant to technologies like single cell or spatial. ['SNP','ENSG','interval'] SNP is rsID or positional annotation. Interval is in chr_start_stop format. ENSG is ensemble ID.",String,Required,,,,,,
SAMPLE,preprocessing_references,Preprocessing References.:   Github repository link or similar code reference plus electronic lab notes detailing all data generation steps and quality control summaries.  Analysis scripts for additional processing will also create valuable context.,String,Optional,,,,,,
SAMPLE,configuration_file,"Configuration File.:   Incl. software version, reference assembly, parameters for analysis, in YAML format",String,Required,,,,,,
SAMPLE,organism_ontology_term_id,Organism Ontology Term ID.:   NCBITaxon ,Enum,Required,"[""NCBITaxon:9606""]",,,,,
SAMPLE,development_stage_ontology_term_id,Development Stage Ontology Term.:   HsapDv if human. Included for compatibilty with CELLxGENE. https://www.ebi.ac.uk/ols/ontologies/hsapdv,String,Required,,,,,,
SAMPLE,sex_ontology_term_id,"Sex Ontology Term ID.:   PATO:0000384 for male, PATO:0000383 for female, or unknown if unavailable",Enum,Required,"[""PATO:0000384 (male)"", ""PATO:0000383 (female)"", ""Unknown""] ",,,,,
SAMPLE,self_reported_ethnicity_ontology_term_id,"Self Reported Ethnicity Ontology.:   HANCESTRO use multiethnic if more than one ethnicity is reported. If human and information unavailable, use unknown. Included for compatibilty with CELLxGENE. https://www.ebi.ac.uk/ols/ontologies/hancestro",String,Required,,,,,,
SAMPLE,disease_ontology_term_id,Disease Ontology Term ID.:   MONDO or PATO:0000461 for 'normal'. Included for compatibilty with CELLxGENE. https://www.ebi.ac.uk/ols/ontologies/mondo,String,Required,,,,,,
SAMPLE,tissue_ontology_term_id,Tissue Ontology Term ID.:   UBERON. Included for compatibilty with CELLxGENE. https://www.ebi.ac.uk/ols/ontologies/uberon,String,Required,,,,,,
SAMPLE,cell_type_ontology_term_id,Cell Type Ontology Term ID.:   CL. Included for compatibilty with CELLxGENE. https://www.ebi.ac.uk/ols/ontologies/cl,String,Required,,,,,,
SAMPLE,assay_ontology_term_id,Assay Ontology Term ID.:   EFO. Included for compatibilty with CELLxGENE. https://www.ebi.ac.uk/ols/ontologies/efo,String,Required,,,,,,
SAMPLE,suspension_type,"Suspension Type.:   Cell, nucleus, or na, as corresponding to assay. Included for compatibilty with CELLxGENE. Use https://github.com/chanzuckerberg/single-cell-curation/blob/main/schema/3.0.0/schema.md#suspension_type defined in the data schema for additional guidance.",,Required,,,,,,
SAMPLE,DV200,DV200.:   Value is the percentage of RNA fragments larger than 200 nucleotides.,Float,Optional,,,,,,
SAMPLE,pm_PH,Post-mortem PH.:   PH measured in the tissue. PH is designated as a number ranging between 0 and 14.,Float,Optional,(0-14),,pm_PH,Dropdown,"To specify, if available, the pH taken from the fresh brain prior processing for freezing and formalin fixation; if pH is not available, to specify as ""unknown"" from the dropdown menu",
SAMPLE,donor_id,Donor ID.:   free-text identifier that distinguishes the unique individual that data were derived from. Included for compatibilty with CELLxGENE.,String,Optional,,,,,,
PROTOCOL,sample_collection_summary,Sample Collection Summary.:   Short summary detailing how samples were collected.  ,String,Required,,,,,,
PROTOCOL,cell_extraction_summary,Cell Extraction Summary.:   Short summary detailing the protocols used for cell extraction. ,String,Required,,,,,,
PROTOCOL,lib_prep_summary,Library Preparation Summary.:   Short summary detailing how the library was prepared.,String,Required,,,,,,
PROTOCOL,data_processing_summary,Data Processing Summary.:   Short summary of how data has been processed prior to fastq generation.,String,Required,,,,,,
PROTOCOL,github_url,Github Repository Link.:   URL for lab github repo conatining the code and scripts for processing data in this dataset.,String,Required,,,,,,
PROTOCOL,protocols_io_DOI,Protocols.io DOI.:   Digital Object Identifier (DOI) for protocols.io,String,Required,,,,,,
PROTOCOL,other_reference,Other Reference.:   Link to technology/platform protocol(s) if not available in protocols.io,String,Optional,,,,,,
CLINPATH,sample_id,Sample ID.:   Unique ID issued by ASAP team.  ,String,Required,,,ASAP_team_laboratory_sample_id,Free text,"ID of each individual sample used in the study (e.g. cortex of anterior cingulate gyrus); if from the same brain several regions are included in the study, each region (i.e. each sample) has different ID and listed as a separate entry",
CLINPATH,source_sample_id,Source Sample ID.:   ID provided by Brain bank or other source,String,Required,,,path_brain_case_id_brain_bank,Free text,ID of the brain from which the sample is derived (this ID is provided by the brain bank),
CLINPATH,time_from_baseline,"Time from baseline visit in days, baseline is when the participants were enrolled:   Time from baseline visit in days, baseline is when the participants were enrolled",String,Required,,,,,,
CLINPATH,GP2_id,GP2 ID if sample is also present in GP2:   GP2 ID if sample is also present in GP2. NA if not in GP2,String,Required,,,GP2_ID (supplied by GP2),Free text,ID assigned by GP2 to track Neurobooster data,
CLINPATH,hemisphere,Side of the hemisphere (i.e. right or left) from which the sample is acquired:   Side of the hemisphere (i.e. right or left) from which the sample is acquired,Enum,Required,"[""Right"",""Left"",""Unknown""]",,side (R or L),Dropdown,Side of the hemisphere (i.e. right or left) from which the sample is acquired,
CLINPATH,region_level_1,Region Level 1.:   General (Level 1) anatomical location.  ,Enum,Required,"[""Frontal lobe"", ""Temporal lobe"", ""Parietal lobe"", ""Occipital lobe"", ""Cingulate gyrus"", ""Striatum"", ""Thalamus"", ""Midbrain"", ""Pons"", ""Medulla"", ""Cerebellum"", ""Intestine"", ""Unknown""]",,region_level_1,Dropdown,Anatomical location of the sample as per options in the dropdown menu,
CLINPATH,region_level_2,"Region Level 2.:   More specific (Level 2) anatomical subdivision. Note that ""CA1-CA4"" indicates Hippocampus origin.",Enum,Required,"[""Superior frontal gyrus"",""Middle frontal gyrus"",""Inferior frontal gyrus"",""Superior temporal gyrus"",""Middle temporal gyrus"",""Inferior temporal gyrus"",""Fusiform gyrus"",""Transentorhinal region"",""Entorinal region"",""Subiculum"",""CA1-CA4"",""Amygdala"",""Periamygdala cortex"",""Anterior cingulate gyrus"",""Posterior cingulate gyrus"",""Superior parietal lobule"",""Inferior parietal lobule"",""Parastriate cortex"",""Peristriate cortex"",""Striate cortex"",""Insular cortex"",""Caudate nucleus"",""Putamen"",""Globus pallidus"",""Thalamus"",""Subthalamic nucleus"",""Substantia nigra"",""Pontine tegmentum"",""Pontine base"",""Medulla tegmentum"",""Medulla base"",""Cerebellar vermis"",""Cerebellar hemisphere"",""Dentate nucleus"",""Right colon"",""Left colon"",""Unknown""]",,region_level_2,Dropdown,Anatomical location of the sample as per options in the dropdown menu,
CLINPATH,region_level_3,Region Level 3.:   Specification if the sample is from the grey or white matter. ,Enum,Required,"[""Grey matter"", ""White matter"", ""Grey and white matter"", ""Unknown""]",,region_level_3,Dropdown,Specification if the sample is from the grey or white matter,
CLINPATH,AMPPD_id,AMP-PD ID.:   The AMP-PD ID if sample is also present in AMP-PD. NA if not in AMP-PD,String,Required,,,,,,
CLINPATH,family_history,"Family History.:   Answer to: Did your parents, full-siblings, or children have Parkinson's disease? ",Enum,Required,"[""Yes"",""No"",""Unknown"", ""Not Reported""]",,"family_Hx_1st_PD (parents, siblings, children)",Dropdown,"Is the donor from which the sample is derived known to have the first generation family history of Parkinson's disease (i.e. do any of the parents, siblings or children of the donor have been diagnosed with Parkinson's disease)",
CLINPATH,last_diagnosis,"Last Diagnosis.:   Most recent ""clinical"" diagnosis.",String,Required,,,final_clinical_diagnosis_text,Dropdown,What was the donor's final clinical diagnosis as known to the brain bank (in clinical notes may also be referred to as primary diagnosis),
CLINPATH,age_at_onset,"Age at Onset.:   Age in years at which any sympton was manifest, Between 0 and 120",Integer,Required,(y>=0) & (y<=120),,age_at_first_symptom_onset,Dropdown,At what age the donor from which the sample is acquired developed the first motor or non-motor symptom of Parkinson's disease,
CLINPATH,age_at_diagnosis,Age at diagnosis:   Age in years at which clinical diagnosis was made. Between 0 and 120,Integer,Required,(y>=0) & (y<=120),,age_at_first_motor_symptom_onset,Dropdown,"At what age the donor from which the sample is acquired from developed the first motor symptom of Parkinson's disease (i.e. tremor, micrographia, stiffness, frozen shoulder, impaired manual dexterity, gait disorder, general slowing)",
CLINPATH,first_motor_symptom,First Motor Symptom.:   Age in years at which first motor symptoms manifest. Between 0 and 120,Integer,Required,(y>=0) & (y<=120),,first_motor_symptom,Dropdown,What was the first motor symptom for the donor from which the sample is acquired: to choose from the options listed in the dropdown menu,
CLINPATH,hx_dementia_mci,Dementia MCI.:   Answer to: Have you ever been diagnosed with Dementia or MCI? ,Enum,Required,"[""Yes"", ""No""]",,dementia_yes_no,Dropdown,"Through the whole disease course, was the patient diagnosed suffering from dementia (i.e., cognitive impairment interfering with work / family / activities of daily living)?",
CLINPATH,hx_melanoma,Melanoma.:   Answer to: Have you ever been diagnosed with Melanoma?,Enum,Required,"[""Yes"", ""No""]",,hx_melanoma,Dropdown,"Has the donor from which the sample is acquired, had melanoma in past medical history?",
CLINPATH,education_level,Education Level.:   Derived value for level of education. ,Enum,Required,"[""High School"", ""High School/GED"", ""Some college without degree"", ""Associate degree college"", ""Bachelor's degree"", ""Master's degree"", ""Professional or doctoral degree"", ""Refuse"", ""Other""]",,,,,
CLINPATH,smoking_status,"Smoking Status.:   Assessment of ""substantial"" smoking.  ",Enum,Required,"[""Current smoker"", ""Former smoker"", ""Never"", ""Unknown""]",,,,,
CLINPATH,smoking_years,"Smoking Years.:   Time in years of ""substantial"" smoking. ",Float,Optional,,,,,,
CLINPATH,APOE_e4_status,APOE e4 Status.:   APOE e4 alelle phenotype. ,Enum,Required,"[""22"", ""23"",""24"",""33"", ""34"", ""44"", ""Unknown""]",,,,,
CLINPATH,cognitive_status,"Cognitive Status.:   Derived cognitive status from general cognitive screening test (i.e., MMSE, MoCA, CDR, etc.).  ",Enum,Required,"[""Normal"", ""MCI"", ""Dementia""]",,,,,
CLINPATH,path_autopsy_dx_main,Pathology Autopsy Diagnosis (Main):   The primary pathological autopsy result.  ,Enum,Required,"[""Lewy body disease nos"", ""Parkinson's disease"", ""Parkinson's disease with dementia"", ""Dementia with Lewy bodies"", ""Multiple system atrophy (SND>OPCA)"", ""Multiple system atrophy (OPCA<SND)"", ""Multiple system atrophy (SND=OPCA)"", ""Progressive supranuclear palsy"", ""Corticobasal degeneration"", ""Globular glial tauoapathy (GGT)"", ""Chronic traumatic encephalopathy (CTE)"", ""FTLD-Tau (Pick's)"", ""FTLD-Tau (MAPT)"", ""FTLD-Tau (AGD)"", ""FTLD-TDP43, Type A"", ""FTLD-TDP43, Type B"", ""FTLD-TDP43, Type C"", ""FTLD-TDP43, Type D"", ""FTLD-TDP43, Type E"", ""Motor neurone disease-TDP43 (MND or ALS)"", ""FTLD-MND-TDP43"", ""Huntington's disease"", ""Spinocerebellar ataxia, nos"", ""Prion disease, nos"", ""Alzheimer's disease (high level neuropathological change)"", ""Alzheimer's disease (intermediate level neuropathological change)"", ""Control, Low level AD neuropathological change"", ""Control, Limbic predominant age-related TDP43 proteinopathy (LATE)"", ""Control, Argyrophilic grain disease"", ""Control, Primary age-related tauopathy (PART)"", ""Control, Ageing-related tau astrogliopathy (ARTAG)"", ""Control, Cerebrovascular disease (atherosclerosis)"", ""Control, Cerebrovascular disease (hyaline arteriolosclerosis)"", ""Control, Cerebrovascular disease (cerebral amyloid angiopathy)"", ""Control, no misfolded protein or significant vascular pathology"", ""Other neurological disorder""]",,path_autopsy_main_dx,Dropdown,"To specify from the dropdown diagnoses options, the main (or first) neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired",
CLINPATH,path_autopsy_second_dx,"Pathology Autopsy Diagnosis (2):   The second listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",String,Optional,,,path_autopsy_second_dx,Free text,"To specify as free text, the second listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",
CLINPATH,path_autopsy_third_dx,"Pathology Autopsy Diagnosis (3):   The third listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",String,Optional,,,path_autopsy_third_dx,Free text,"To specify as a free text, the third listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",
CLINPATH,path_autopsy_fourth_dx,"Pathology Autopsy Diagnosis (4):   The fourth listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",String,Optional,,,path_autopsy_fourth_dx,Free text,"To specify as a free text, the fourth listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",
CLINPATH,path_autopsy_fifth_dx,"Pathology Autopsy Diagnosis (5):   The fifth listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",String,Optional,,,path_autopsy_fifth_dx,Free text,"To specify as a free text, the fifth listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",
CLINPATH,path_autopsy_sixth_dx,"Pathology Autopsy Diagnosis (6):   The sixth listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",String,Optional,,,path_autopsy_sixth_dx,Free text,"To specify as a free text, the six listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",
CLINPATH,path_autopsy_seventh_dx,"Pathology Autopsy Diagnosis (7):   The seventh listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",String,Optional,,,path_autopsy_seventh_dx,Free text,"To specify as a free text, the seventh listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",
CLINPATH,path_autopsy_eight_dx,"Pathology Autopsy Diagnosis (8):   The eighth listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",String,Optional,,,path_autopsy_eight_dx,Free text,"To specify as a free text, the eight listed neuropathological diagnosis as provided by the brain bank for the donor from which the sample is acquired; if none listed, state ""none""",
CLINPATH,path_year_death,Year of Death.:   Year in which the donor from which the sample is derived died. Must be between 1920 and 2050,Float,Required,(y>1920)&(y<2050),,year_death,Dropdown,Year in which the donor from which the sample is derived died,
CLINPATH,age_at_death,Age at Death.:   Age in years when the donor from which the sample is derived died,String,Required,,,age_at_death,Dropdown,Age in years when the donor from which the sample is derived died,
CLINPATH,cause_death,Cause of Death.:   The direct cause of death.,String,Required,,,direct_cause_death,Free text,"To specify as a free text the direct cause of death (e.g. aspiration pneumonia); if not available, to state ""unknown""",
CLINPATH,other_cause_death_1,"Other Cause of Death (1):   Additional (secondary) causes of death; if not available, to state ""unknown""",String,Optional,,,other_cause_death_1,Free text,"To specify as a free text any other listed cause of death as available to the brain bank; if not available, to state ""unknown""",
CLINPATH,other_cause_death_2,"Other Cause of Death (2):   Additional (tertiary) causes of death; if not available, to state ""unknown""",String,Optional,,,other_cause_death_2,Free text,"To specify as a free text any other listed cause of death as available to the brain bank; if not available, to state ""unknown""",
CLINPATH,brain_weight,Brain Weight.:   Post-mortem brain weight in grams.,Float,Required,,,,,,
CLINPATH,path_braak_nft,Pathology Braak NFT.:   Braak&Braak neurofibrillary tangle tau stage.  ,Enum,Required,"[""0"", ""I"", ""II"", ""III"", ""IV"", ""V"", ""VI"", ""I/II"", ""III/IV"", ""IV/V"", ""V/VI""]",,B&B_Tau_NFT_stage,Dropdown,"To specify Braak&Braak neurofibrillary tangle tau stage as per options in the dropdown menu: this information to be provided by the brain bank, based on the examination of formalin fixed paraffin embedded tissue of the whole or half of the brain",
CLINPATH,path_braak_asyn,Pathology Braak asyn:   Braak&Braak lewie body stage.  ,Enum,Required,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""1/2"", ""3/4"", ""4/5"", ""5/6""]",,,,,
CLINPATH,path_cerad,Pathology CERAD:   Semiquantitative assessment of neuritic plaques.,Enum,Required,"[""None"", ""Sparse"", ""Moderate"", ""Frequent""]",,path_cerad_neuritic,Dropdown,"To specify CERAD score as per options in the dropdown menu: this information to be provided by the brain bank, based on the examination of the whole or half of the brain",
CLINPATH,path_thal,Pathology Thal :   Thal stage of Amyloid beta. ,Enum,Required,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""1/2"", ""3"", ""4/5""]",,amyloid_Thal_phase,Dropdown,"To specify Thal phase as per options in the dropdown menu: this information to be provided by the brain bank, based on the examination of formalin fixed paraffin embedded tissue of the whole or half of the brain",
CLINPATH,known_pathogenic_mutation,"Known Pathogenic Mutation.:   Does the donor from which the sample is acquired is known to have a pathogenic Parkinson's disease -causing mutation as known to the brain bank, including GBA?  ",Enum,Optional,"[""None"", ""Present"", ""Unknown""]",,known_pathogenic_mutation,Dropdown,"Does the donor from which the sample is acquired is known to have a pathogenic Parkinson's disease -causing mutation as known to the brain bank, including GBA? (summary genetic data generated by GP2 will be added to a separate summary field)",
CLINPATH,PD_pathogenic_mutation,"PD Pathogenic Mutation.:   To specify as a free text which pathogenic mutation the donor has (e.g., LRRK2 G2019S, GBA L444P)",String,Optional,,,PD_pathogenic_mutation,Free text,"To specify as a free text which pathogenic mutation the donor has (e.g., LRRK2 G2019S, GBA L444P)",
